date,title,summary
2026-03-23,Iran War Live Updates: Trump Postpones Deadline For Strikes on Iran’s Energy Infrastructure,"Iran disputed President Trump’s claim that the U.S. and Iran had held “very good” talks on ending the conflict, casting it as a ploy to soothe markets and to buy time for more military action."
2026-03-23,Canada’s Military Wants to Prove It Can Defend the High Arctic,Canadian soldiers transported M777 howitzers to the High Arctic to show their ability to fight in an increasingly contested part of the world. It did not go as planned.
2026-03-23,"Sidelined by War With Iran, Gaza Residents Remain in Limbo",The new war has led to panic buying and a surge in food prices for Gazans as they try to recover from Israel’s two-year offensive against Hamas.
2026-03-23,"Caught Between Two Conflicts, Afghans Flee Iran","The war in Iran is choking off Afghanistan’s main economic lifeline and has forced at least 70,000 Afghan workers and students there back home to a nation embroiled in another conflict."
2026-03-23,Taiwan Debates Military Spending as Choices Over U.S. and China Loom,Tensions in the opposition Nationalist Party could surface this week as lawmakers argue over additional defense funding intended to counter Beijing’s growing might.
2026-03-23,Canada May Need to Lean on the US as Military Threats in the Arctic Rise,"For the past seven decades, Canada has been the junior partner in a military agreement with the United States to protect the Canadian Arctic."
2026-03-23,Israel’s Missile Defense Under Scrutiny After Iranian Attack,"Two missiles landed hours apart, wreaking havoc in two towns near a heavily guarded nuclear site in the Negev Desert."
2026-03-22,"On Beirut’s Waterfront, Loss Meets Life, and Luxury, Amid War","Thousands displaced by Israeli strikes on Lebanon’s capital now shelter along the promenade hugging the Mediterranean Sea. They share it with joggers, cyclists and dog walkers, alongside dizzying displays of wealth."
2026-03-22,"Attack on a Sudan Hospital Kills Dozens, Head of W.H.O. Says","The group’s director general said 13 children were among those killed in the latest violence in the Darfur region, and he decried the targeting of health care facilities in the civil war."
2026-03-23,Energy Attacks in War on Iran Could Turn Economic Shock Into Long-Term Damage,A new phase targeting oil and gas infrastructure in the Persian Gulf threatens to hurt businesses and customers around the world for months or even years.
2026-03-23,"London Arson Attack on Jewish Ambulance Service Investigated as Hate Crime, Police Say",The city’s main police force said it was investigating fires that struck four ambulances as an antisemitic hate crime.
2026-03-23,Iranians Fear Trump’s Threat to Strike Power Plants,"With President Trump threatening to strike Iranian power plants, some war-weary civilians are panicking over a possible new debacle."
2026-03-23,Trump’s Ultimatum to Iran,"The president’s messages on the war have shifted, but the latest threat might be a sign that he’s moving to a harder stance."
2026-03-23,Here’s What Happened in the War in the Middle East on Sunday,"The Israeli military said its campaign against Hezbollah in Lebanon would intensify, while Iran threatened to attack civilian infrastructure if President Trump followed through with an ultimatum."
2026-03-23,Iran Responds to Trump’s Energy Threat With Defiance and Warnings of Its Own,"Tehran “will not hesitate in defending its people and its land,” a senior official said, after President Trump threatened to destroy Iranian power plants."
2026-03-22,Israel Orders Military to Intensify Demolitions in Southern Lebanon,"Israel Katz, the defense minister, said he ordered troops to destroy more bridges and buildings in southern Lebanon, stoking worries that Israel was widening a military-controlled buffer zone there."
2026-03-22,Residents in Southern Israel Are Shaken After Direct Strikes by Iranian Missiles,"Attacks on Saturday injured dozens in Arad and Dimona, two cities closest to Israel’s main nuclear research facility."
2026-03-22,Terror Attacks Haunted This Brussels Community. Now It’s Trying to Move On.,"Molenbeek was branded a hotbed of radicalization after terrorists hit Brussels and Paris a decade ago, but new challenges show that reinvention doesn’t come easy."
2026-03-21,Here’s What Happened in the War in the Middle East on Saturday,"An Iranian missile wounded dozens in Dimona, a city believed to house Israel’s nuclear weapons program, as Iran showed no signs of backing down."
2026-03-21,"With Fire and Song, Kurds in Turkey Hail the Start of Spring","The Newroz holiday comes at a critical time, as Kurds in Turkey push for peace while their brethren in Syria and Iran fear further conflict."
2026-03-21,How the Litani River Shapes the Israel-Hezbollah War,"The 90-mile waterway, back in focus amid Israel’s renewed offensive in Lebanon, could define how far the fighting spreads."
2026-03-21,Israel Strikes Across Lebanon Amid Fierce Ground Fighting in the South,The Israeli military said it was stepping up attacks aimed at infrastructure in Beirut belonging to Hezbollah.
2026-03-21,Middle East War Leaves Hamas Balancing Allies on Opposite Sides,"The Palestinian militant group, which has ties to both Iran and Qatar, is “walking on a knife’s edge,” an analyst said."
2026-03-21,Canada Shifts From Peacekeeping to Building a Strong Military,Prime Minister Mark Carney’s latest global tour emphasized military cooperation rather than developing trade ties.
2026-03-21,"Iranian Sailors, Including Survivors of Torpedoed Ship, Remain in Limbo","Sri Lanka has kept more than 250 sailors in protective custody since the early days of the war. Iran wants them back, but Sri Lanka is unsure what to do with them."
2026-03-21,"Zelensky Sends Negotiators to the U.S., Hoping to Revive Peace Talks",The Ukrainian president has said he has a “very bad feeling” about the effects of the Iran conflict on Ukraine’s own war.
2026-03-21,A Public Holiday Every Week? Sri Lankans Bemoan the Enforced Day Off.,"The island’s government, rationing fuel amid shortages from the Iran war, surprised residents by imposing an unusual four-day week."
2026-03-20,Here’s What Happened in the War in Iran in Its Third Week,The Persian new year and the end of the holy month of Ramadan were marked by continuing strikes in the region as the war reached the end of its third week.
2026-03-20,U.S. Attacks Iranian Targets to Try to Open Strait of Hormuz,"The Israeli military said it had killed the spokesman for Iran’s Islamic Revolutionary Guards Corps, and Iran warned that it could target American and Israeli military personnel."
2026-03-20,Switzerland Blocks Arms Sales to U.S. Over Iran War,"Swiss law prohibits selling war materiel to countries involved in armed conflict, a policy the country has already cited to block sales to Israel and Iran."
